item,count
Jaguar XJ,18
Mercedes-Benz G-Class,4
Mazda RX-8,10
Lamborghini Gallardo Coupe,3
Ford Focus Coupe,4
Land Rover Range Rover,9
BMW M3 Convertible,2
Lexus ES,3
Honda Ridgeline,6
Dodge Dakota,28
Lexus LS,12
Lincoln Navigator,10
Acura TSX Sport Wagon,2
Audi A5,2
Aston Martin DBS Volante,6
Ford Fiesta Sedan,6
Mercedes-Benz SLK-Class,7
Audi R8 Coupe,6
Chevrolet Camaro Convertible,16
Toyota Land Cruiser,2
Lexus GS,6
Toyota RAV4,24
Ford Focus Sedan,17
Cadillac Escalade,24
Chevrolet HHR Panel,8
Kia Sportage,21
Mitsubishi Lancer,6
Lotus Exige,5
Mercedes-Benz R-Class,6
Toyota Matrix,13
Hyundai Accent Sedan,6
Hyundai Genesis Sedan,7
MINI Cooper Convertible,15
Chevrolet Sonic Hatchback,8
Chevrolet Tahoe Hybrid,4
BMW M6 Coup,1
Toyota Sienna,33
Cadillac Escalade EXT,6
Volvo C70,6
Chevrolet HHR Wagon,14
Mercury Grand Marquis,2
Mitsubishi Eclipse Coupe,14
BMW X3,4
Porsche 911 Cabriolet,12
Lexus IS F,2
Volkswagen Passat,6
Ford E-250 Van,16
Honda Accord Coupe,15
GMC Sierra 1500 Hybrid,8
BMW ActiveHybrid 7 Sedan,3
MINI Clubman,15
Nissan Titan,70
BMW ALPINA B7 Sedan,4
Acura ZDX,3
Chrysler Town and Country,9
Kia Soul,17
Nissan Sentra,9
Mercedes-Benz E-Class Coupe,4
Acura TL,8
Chevrolet Tahoe,12
Hyundai Veloster,1
Kia Forte,15
Cadillac Escalade ESV,24
Mazda Mazda5,8
GMC Yukon Hybrid,10
Aston Martin V8 Vantage Roadster,5
Nissan Xterra,23
Saab 9-4X,5
Subaru Legacy,19
Cadillac STS,13
Lincoln MKT,8
Hyundai Accent Hatchback,14
Chevrolet Cruze,16
Maserati GranTurismo Convertible,2
Mercedes-Benz SL-Class,3
Bentley Continental Supersports Coupe,1
Ford Crown Victoria,1
Acura RL,3
Bentley Continental GTC,3
Ford Transit Connect Wagon,2
Jeep Wrangler,52
Audi A7,1
MINI Countryman,12
Lincoln MKX,6
Infiniti G37 Convertible,8
Cadillac CTS Sport Sedan,36
Lexus RX,2
Subaru Impreza Sedan,13
Maybach Landaulet,3
Mazda CX-7,13
Kia Sedona,7
Bentley Continental Supersports,1
Porsche Cayenne,12
Scion xD,6
Ford Transit Connect Van,2
Chevrolet Corvette Grand Sport Convertible,24
Audi A4 Avant,3
Land Rover LR4,7
Chevrolet Silverado 1500 Hybrid,12
Maserati Quattroporte,6
Ford Edge,25
MINI Cooper Coupe,5
Mazda MX-5 Miata,28
Mitsubishi Lancer Evolution,2
BMW 3 Series Sports Wagon,12
BMW 1 Series Convertible,10
Infiniti G37 Sedan,10
Ford Shelby GT500 Coupe,1
Dodge Journey,19
Aston Martin Virage Volante,2
Jeep Grand Cherokee,48
Dodge Caliber,11
Volkswagen Golf 4-Door,6
BMW M3 Sedan,2
Dodge Grand Caravan,15
Hyundai Azera,4
Lotus Evora,1
GMC Yukon XL,27
Buick Verano,3
Chevrolet Avalanche,12
Audi A3,8
Hyundai Santa Fe,27
Chevrolet Camaro Coupe,31
Hyundai Veracruz,13
Ford Mustang Convertible,24
Aston Martin DB9 Coup,7
Saab 9-3 SportCombi,13
Ford Mustang Shelby GT500 Convertible,3
BMW 3 Series Convertible,17
Honda Pilot,20
Land Rover Range Rover Evoque,5
Chevrolet Suburban Three-Quarter-Ton,4
Lexus IS C,9
Ford Mustang Shelby GT500 Coupe,2
Ford Mustang Coup,25
Infiniti QX56,6
Ford E-350 Super Duty Van,16
Transit Connect Wagon,4
Kia Rio5,6
Ford E-350 Super Duty Wagon,16
Land Rover Range Rover Sport,10
BMW M6 Convertible,1
Audi A4 Sedan,9
Aston Martin Rapide,5
Volvo S60,4
Bentley Continental GT,3
Lincoln MKZ Sedan,4
Scion tC,10
GMC Terrain,36
BMW 3 Series Coup,29
Porsche 911 Coupe,16
Chevrolet Traverse,24
Audi Q5,6
model,1
Volvo V50,5
Volkswagen Touareg Hybrid,1
Dodge Ram 1500,109
Volkswagen Golf 2-Door,9
Maybach 57,5
Land Rover LR2,4
Toyota Corolla,13
Mitsubishi Outlander,6
Suzuki SX4 Crossover,2
Infiniti G37 Coupe,12
Ford E-150 Wagon,10
Volvo S80,6
BMW 6 Series Convertible,1
Audi TT RS,1
GMC Yukon,16
Mazda Tribute,18
Dodge Avenger,11
Audi S4 Sedan,3
Honda CR-Z,4
Volvo XC70,15
BMW Z4 Roadster,5
Mazda Mazdaspeed3,3
Chevrolet Colorado,115
Nissan Frontier,55
Volkswagen Jetta SportWagen,11
Chevrolet Corvette Convertible,24
Acura TSX,10
Jaguar XF,12
Nissan Altima Coupe,7
Hyundai Equus,4
Jeep Liberty,25
Infiniti EX,16
Suzuki Grand Vitara,15
Chevrolet Malibu Hybrid,1
Toyota Tacoma,38
Rolls-Royce Phantom Drophead Coupe,2
Volkswagen Golf R 4-Door,1
Audi S5 Coupe,6
GMC Canyon,78
Audi A5 Coupe,7
Audi R8 Spyder,4
lexus IS F,1
Honda Odyssey,14
Infiniti M Hybrid,1
Mercedes-Benz GL-Class,6
BMW 5 Series Sports Wagon,2
Mazda Mazda3 4-Door,26
Hyundai Tucson,29
Mitsubishi Outlander Sport,1
Jaguar XK Coup,8
Buick Lucerne,13
Jeep Commander,6
Nissan Cube,6
BMW 5 Series Gran Turismo,7
Kia Rio,8
Nissan Armada,36
Saab 9-5 Sedan,7
Bentley Azure T,1
Cadillac CTS Sport Wagon,28
Cadillac CTS-V Sedan,6
Bentley Continental Supersports Convertible,2
Lotus Elise,5
Mazda Mazda3 5-Door,13
Ferrari 612 Scaglietti,1
Mitsubishi Endeavor,6
Toyota Tundra,66
Volkswagen GTI 2-Door,4
Saab 9-3 Convertible,14
Toyota Yaris 3-Door Liftback,7
Chevrolet Aveo,5
Nissan Versa Hatchback,6
Toyota Yaris 5-Door Liftback,8
Ford Escape,32
Audi S6,2
Infiniti IPL G Coupe,4
Suzuki SX4 Sedan,8
Lexus IS,14
Nissan 370Z Coupe,20
Chrysler 300,14
BMW M3 Coup,2
Honda CR-V,14
Bentley Brooklands,1
Aston Martin V8 Vantage Coup,5
Ford Ranger,38
Volvo C30,20
Chrysler Sebring Sedan,3
Suzuki Kizashi,7
Dodge Charger,14
Lamborghini Gallardo Coup,1
Lexus LFA,1
Lexus LX,2
Ford Fiesta Hatchback,4
Saab 9-3 Sport Sedan,20
Mazda Mazda6,23
Volvo XC60,21
Subaru Forester,23
Chevrolet Suburban,3
Mercedes-Benz CLS-Class,3
BMW 6 Series Coup,1
MINI Cooper Hardtop,15
Toyota Sequoia,29
Dodge Durango,22
Jaguar XK Convertible,6
Ford Focus 5-Door,4
Ford E-150 Van,12
Ford Taurus,15
GMC Sierra 1500,124
Bentley Continental Flying Spur,5
Jeep Compass,12
BMW 7 Series,17
Honda Fit,12
Honda Civic Coup,17
Cadillac CTS Coupe,14
Subaru Impreza Hatchback,19
Bentley Mulsanne,1
Maybach 62,5
BMW 3 Series Sedan,18
Kia Optima,16
Honda Civic Coupe,8
Mazda CX-9,18
Mercedes-Benz E-Class Cabriolet,2
Cadillac DTS,8
Volkswagen Touareg,8
Infiniti FX,9
Maserati GranTurismo Coup,4
Transit Connect Van,4
Mitsubishi Galant,6
Volvo S40,7
Toyota Highlander,25
Lamborghini Gallardo Spyder,1
Lincoln Town Car,4
Mercury Mariner,16
Ford Fusion,29
Chevrolet Equinox,43
Cadillac SRX Crossover,7
Chevrolet Silverado 1500,116
Mitsubishi Eclipse Spyder,7
Subaru Impreza WRX Sedan,8
Hyundai Elantra Touring,14
Cadillac CTS-V Coupe,4
Rolls-Royce Phantom Sedan,4
Subaru Outback,14
GMC Savana,41
Volkswagen Golf R 2-Door,1
Audi A5 Cabriolet,3
Kia Forte Koup,12
Nissan Pathfinder,33
Chevrolet Corvette Z06,9
Jeep Patriot,23
Dodge Nitro,18
Mercedes-Benz CL-Class,8
Scion xB,10
Volvo V70,1
Kia Optima Hybrid,1
Toyota Avalon,5
Chevrolet Malibu,19
Volkswagen CC,10
Kia Forte 5-Door,6
Chevrolet Impala,9
Chevrolet Corvette ZR1,6
Suzuki Equator,15
GMC Acadia,28
Mercedes-Benz E-Class Sedan,11
Volkswagen Jetta,38
Chevrolet Sonic Sedan,6
Nissan Versa Sedan,13
Rolls-Royce Ghost,2
Audi Q7,12
Aston Martin Virage Coup,2
Ford F-150,185
Chevrolet Corvette Coupe,24
Chevrolet Corvette Grand Sport Coupe,24
BMW X5,10
Kia Sorento,22
Mercury Milan,10
Mercedes-Benz GLK-Class,4
Porsche Cayenne S Hybrid,1
Subaru Impreza WRX Hatchback,9
Volkswagen Tiguan,15
Mercedes-Benz M-Class,8
BMW 1 Series Coup,4
Hyundai Elantra Sedan,15
Acura RDX,4
BMW 5 Series Sedan,29
Buick Lacrosse,22
Toyota 4Runner,16
Infiniti M,13
Hyundai Sonata Hybrid,1
Chevrolet Express,21
Toyota Camry,26
Toyota Venza,8
Honda Civic Sedan,35
Ford Explorer,26
Hyundai Sonata,25
Honda Element,11
Nissan JUKE,2
Kia Rio 5-Door,4
BMW 1 Series Coupe,7
Suzuki SX4 Sportback,4
Chevrolet Aveo5,10
Audi A6 Sedan,5
Aston Martin DB9 Volante,7
Mitsubishi Lancer Sportback,3
Chrysler 200 Sedan,4
Cadillac CTS-V Wagon,4
Audi A8,7
Honda Accord Crosstour Hatchback,9
BMW X6,6
Ford Expedition,52
Hyundai Genesis Coupe,28
Cadillac Escalade Hybrid,10
Lincoln MKZ,2
Mazda Mazda2,8
Dodge Viper Coup,1
Volkswagen GTI 4-Door,4
Volvo XC90,18
Mercedes-Benz C-Class,20
Honda Accord Sedan,28
Toyota Yaris Sedan,4
Volkswagen Beetle,3
Chrysler Sebring Convertible,3
Ford Flex,26
Rolls-Royce Phantom Coupe,2
Cadillac SRX,16
Toyota FJ Cruiser,9
Acura MDX,3
Volkswagen Routan,12
Honda Accord Coup,7
Nissan 370Z Roadster,11
Porsche Cayman,5
Infiniti G25,6
Chrysler 200 Convertible,3
Dodge Viper Convertible,1
Chevrolet Suburban Half-Ton,6
Porsche Boxster,5
Dodge Challenger,11
Nissan Juke,2
Aston Martin V12 Vantage,4
Buick Enclave,20
Audi A6 Avant,2
Lincoln MKS,9
Buick Regal,13
Mercedes-Benz E-Class Wagon,1
